id,nome,geocodigo,cod_uf
"1",Acajutiba,"2900306","29"
"2",Aporá,"2901908","29"
"3",Campestre do Maranhão,"2102556","21"
"4",Porto Murtinho,"5006903","50"
"5",Pimenteiras do Oeste,"1101468","11"
"6",Santa Maria de Itabira,"3158003","31"
"7",Fátima,"2910750","29"
"8",Carapicuíba,"3510609","35"
"9",Salto de Pirapora,"3545308","35"
"10",Taguaí,"3553005","35"
"11",Boituva,"3507001","35"
"12",Encruzilhada,"2910404","29"
"13",Divinolândia de Minas,"3122207","31"
"14",Jacinto,"3134707","31"
"15",Padre Carvalho,"3146255","31"
"16",Cristália,"3120300","31"
"17",Felisburgo,"3125606","31"
"18",Aurilândia,"5202601","52"
"19",Tesouro,"5108105","51"
"20",Francisco Sá,"3126703","31"
"21",Rubim,"3156601","31"
"22",Pavussu,"2207850","22"
"23",São Francisco do Guaporé,"1101492","11"
"24",Campo Belo do Sul,"4203402","42"
"25",Congonhas,"3118007","31"
"26",Vale do Anari,"1101757","11"
"27",Adrianópolis,"4100202","41"
"28",Jaguaruna,"4208807","42"
"29",Ibiúna,"3519709","35"
"30",Nova Brasilândia,"5106208","51"
"31",Codó,"2103307","21"
"32",Itinga,"3134004","31"
"33",São Luís de Montes Belos,"5220108","52"
"34",Moiporá,"5213400","52"
"35",Palestina de Goiás,"5215652","52"
"36",Curvelo,"3120904","31"
"37",Campo Azul,"3111150","31"
"38",Piranhas,"5217203","52"
"39",Torixoréu,"5108204","51"
"40",Córrego do Ouro,"5205703","52"
"41",Eunápolis,"2910727","29"
"42",Mesquita,"3302858","33"
"43",Cambuquira,"3110707","31"
"44",Conceição do Rio Verde,"3117702","31"
"45",Cruzília,"3120805","31"
"46",Sabáudia,"4122701","41"
"47",Cajamar,"3509205","35"
"48",Caieiras,"3509007","35"
"49",Pirapora do Bom Jesus,"3539103","35"
"50",Tejupá,"3554201","35"
"51",Piatã,"2924306","29"
"52",Abaíra,"2900108","29"
"53",Cavalcante,"5205307","52"
"54",Arraias,"1702406","17"
"55",Santana,"2928208","29"
"56",Santa Maria da Vitória,"2928109","29"
"57",Paramirim,"2923605","29"
"58",Iramaia,"2914307","29"
"59",Rio de Contas,"2926707","29"
"60",Minaçu,"5213087","52"
"61",Trombas,"5221452","52"
"62",Colorado do Oeste,"1100064","11"
"63",Alto Paraíso de Goiás,"5200605","52"
"64",Montividiu do Norte,"5213772","52"
"65",Igrapiúna,"2913457","29"
"66",Macaúbas,"2919801","29"
"67",São Desidério,"2928901","29"
"68",Paratinga,"2923704","29"
"69",Sítio do Mato,"2930758","29"
"70",Araguaçu,"1702000","17"
"71",Iaçu,"2911907","29"
"72",Campos Belos,"5204904","52"
"73",Baianópolis,"2902500","29"
"74",Boa Vista do Tupim,"2903805","29"
"75",Ibipitanga,"2912509","29"
"76",Estrela do Norte,"5207501","52"
"77",Carlos Barbosa,"4304804","43"
"78",Tijucas do Sul,"4127601","41"
"79",Barreirinha,"1300508","13"
"80",Rio Maria,"1506161","15"
"81",Tapes,"4321105","43"
"82",Belo Oriente,"3106309","31"
"83",Santa Vitória,"3159803","31"
"84",Seabra,"2929909","29"
"85",Ibitiara,"2913002","29"
"86",Serra Dourada,"2930303","29"
"87",Registro,"3542602","35"
"88",Itaoca,"3522158","35"
"89",Ribeira,"3542800","35"
"90",Arapuã,"4101655","41"
"91",Apiaí,"3502705","35"
"92",Santa Vitória do Palmar,"4317301","43"
"93",Ubiratã,"4128005","41"
"94",Jequié,"2918001","29"
"95",Matina,"2921054","29"
"96",Formoso,"5208103","52"
"97",Livramento de Nossa Senhora,"2919504","29"
"98",Guarani de Goiás,"5209408","52"
"99",Lindolfo Collor,"4311627","43"
"100",Santo Amaro,"2928604","29"
"101",Uruçuí,"2211209","22"
"102",Serra Nova Dourada,"5107883","51"
"103",Manoel Emídio,"2205904","22"
"104",Rafael Jambeiro,"2925956","29"
"105",Santa Terezinha,"2928505","29"
"106",Cachoeira,"2904902","29"
"107",Taguatinga,"1720903","17"
"108",Parecis,"1101450","11"
"109",Aurora do Tocantins,"1702703","17"
"110",Castro Alves,"2907301","29"
"111",Iraquara,"2914406","29"
"112",Ipecaetá,"2913804","29"
"113",Feira de Santana,"2910800","29"
"114",Conceição do Jacuípe,"2908507","29"
"115",Ponte Alta do Bom Jesus,"1717800","17"
"116",Conceição do Tocantins,"1705607","17"
"117",Taipas do Tocantins,"1720937","17"
"118",Bom Jesus do Araguaia,"5101852","51"
"119",Itanhangá,"5104542","51"
"120",Coração de Maria,"2908903","29"
"121",Cristópolis,"2909703","29"
"122",Cabo de Santo Agostinho,"2602902","26"
"123",São João do Arraial,"2209971","22"
"124",Santa Tereza de Goiás,"5219605","52"
"125",Pires do Rio,"5217401","52"
"126",Santo Antônio da Barra,"5219712","52"
"127",Barra do Ouro,"1703073","17"
"128",Viamão,"4323002","43"
"129",Paraúna,"5216403","52"
"130",Santa Rita do Araguaia,"5219407","52"
"131",Planalto,"3539608","35"
"132",Platina,"3539707","35"
"133",Pontalinda,"3540259","35"
"134",Porto Feliz,"3540606","35"
"135",Londrina,"4113700","41"
"136",Bertioga,"3506359","35"
"137",Araruama,"3300209","33"
"138",Pantano Grande,"4313953","43"
"139",Barra do Ribeiro,"4301909","43"
"140",Rio Pardo,"4315701","43"
"141",São Sepé,"4319604","43"
"142",Alegrete,"4300406","43"
"143",Cachoeira do Sul,"4303004","43"
"144",Eldorado do Sul,"4306767","43"
"145",Arroio dos Ratos,"4301107","43"
"146",Montenegro,"4312401","43"
"147",Timbó,"4218202","42"
"148",Novo Cabrais,"4313391","43"
"149",Piên,"4119103","41"
"150",Gararu,"2802403","28"
"151",Bom Retiro,"4202602","42"
"152",Tunápolis,"4218756","42"
"153",Sant'Ana do Livramento,"4317103","43"
"154",Bom Jesus do Sul,"4103156","41"
"155",Jarinu,"3525201","35"
"156",Taubaté,"3554102","35"
"157",Marechal Cândido Rondon,"4114609","41"
"158",Mercedes,"4115853","41"
"159",Igreja Nova,"2703205","27"
"160",Terenos,"5008008","50"
"161",Itu,"3523909","35"
"162",Campo Alegre,"4203303","42"
"163",São Mateus do Sul,"4125605","41"
"164",Três Barras,"4218301","42"
"165",Fraiburgo,"4205506","42"
"166",Santa Cecília,"4215505","42"
"167",Angélica,"5000856","50"
"168",Nova Andradina,"5006200","50"
"169",Maracaju,"5005400","50"
"170",Jateí,"5005103","50"
"171",Quitandinha,"4121208","41"
"172",Chopinzinho,"4105409","41"
"173",Reserva do Iguaçu,"4121752","41"
"174",Novo Horizonte do Sul,"5006259","50"
